	Timestamp	Steps	Score	Env no.
 2019-05-26 03:09:09	9601008	  -15.0	1
 2019-05-26 03:10:06	9634224	  -15.0	1
 2019-05-26 03:11:17	9674544	  -10.0	1
 2019-05-26 03:12:11	9705776	  -18.0	1
 2019-05-26 03:13:17	9743952	  -12.0	1
 2019-05-26 03:14:10	9774400	  -19.0	1
 2019-05-26 03:15:06	9806320	  -17.0	1
 2019-05-26 03:16:12	9843600	  -17.0	1
 2019-05-26 03:17:13	9878416	  -14.0	1
 2019-05-26 03:18:16	9914736	  -20.0	1
 2019-05-26 03:19:10	9945712	  -16.0	1
 2019-05-26 03:20:03	9976608	  -18.0	1
 2019-05-26 03:21:10	10014656	  -12.0	1
 2019-05-26 03:22:07	10047088	  -17.0	1
 2019-05-26 03:23:23	10091184	  -5.0	1
 2019-05-26 03:24:17	10121888	  -16.0	1
 2019-05-26 03:25:23	10159520	  -14.0	1
 2019-05-26 03:26:32	10198768	  -12.0	1
 2019-05-26 03:27:47	10242048	  -10.0	1
 2019-05-26 03:28:55	10281072	  -15.0	1
 2019-05-26 03:30:03	10320048	  -15.0	1
 2019-05-26 03:31:07	10356464	  -15.0	1
 2019-05-26 03:32:18	10397424	  -12.0	1
 2019-05-26 03:33:24	10435424	  -16.0	1
 2019-05-26 03:34:13	10463712	  -19.0	1
 2019-05-26 03:35:08	10495008	  -15.0	1
 2019-05-26 03:36:14	10533296	  -10.0	1
 2019-05-26 03:37:24	10573888	  -13.0	1
 2019-05-26 03:38:36	10615952	  -11.0	1
 2019-05-26 03:39:56	10661632	  -12.0	1
 2019-05-26 03:40:51	10693904	  -17.0	1
 2019-05-26 03:41:57	10732400	  -16.0	1
 2019-05-26 03:43:10	10774560	  -17.0	1
 2019-05-26 03:44:15	10812208	  -15.0	1
 2019-05-26 03:45:25	10852784	  -15.0	1
 2019-05-26 03:46:19	10883856	  -18.0	1
 2019-05-26 03:47:33	10926832	  -13.0	1
 2019-05-26 03:48:40	10964848	  -11.0	1
 2019-05-26 03:49:53	11007792	  -7.0	1
